ID	RT	RESP	ACC	PracCounter	AddAccuracy	ProcedureRunning
123	2732	3	1	1	1	pracblock
123	389	1	1	1	2	pracblock
123	340	2	1	1	3	pracblock
123	652	4	1	1	4	pracblock
123	443	2	1	1	5	pracblock
123	1687	4	1	1	6	pracblock
123	340	1	1	1	7	pracblock
123	1148	3	1	1	8	pracblock
123	369	1	1	1	9	pracblock
123	923	4	1	1	10	pracblock
